theme_code,theme_label,REAL_covers,REAL_band_range,RSHE_covers,RSHE_band_range,CfW_covers,CfW_band_range,CASEL_covers,CASEL_band_range,CS_covers,CS_band_range,frameworks_covering,notes
T01,Emotional Awareness Vocabulary & Self-Regulation,yes,A–F,yes,A–E,yes,A–F,yes,A–F,yes,A–F,5,Universal coverage across all five frameworks A–F (RSHE ends at E)
T02,Empathy & Perspective-Taking,yes,A–F,partial,A–B / D–E,yes,A–F,yes,A–F,yes,A–F,5,RSHE has limited empathy-specific content at C; strong coverage in all others
T03,Conflict Resolution & Relationship Repair,partial,C–F,yes,A–E,partial,D–F,yes,A–F,yes,C–F,5,REAL lacks Band A–B content; RSHE and CASEL cover from Band A
T04,Focused Attention & Mindfulness,yes,A–F,no,—,partial,C–D,partial,A–E,partial,D,2,REAL distinctive strength — only REAL covers full A–F; Band F unique to REAL
T05,Reflective & Values-Based Decision-Making,yes,A–F,partial,D–E,yes,A–F,yes,A–F,partial,B–F,5,RSHE limited at lower bands; all others cover B–F or better
T06,Physical Health Habits,yes,A–F,partial,D–E,partial,A–E,no,—,no,—,3,Significant CASEL and CS gap; CfW and RSHE partial; REAL has strongest full-band progression
T07,Self-Care Help-Seeking & Resilience,yes,A–F,yes,A–E,yes,A–F,yes,A–F,partial,C–F,5,Strong multi-framework coverage A–E; RSHE and CS less coverage at F
T08,Bodies Boundaries & Consent,yes,A–F,yes,A–E,partial,B–E,partial,A–D,partial,A–F,5,CASEL and CS address assertiveness/boundaries but not explicit consent framing
T09,Puberty Sexual Health & Safe Choices,yes,B–F,yes,A–E,no,—,no,—,no,—,2,Unique to REAL and RSHE; CfW CASEL CS do not cover this domain
T10,Interpersonal & Assertive Communication,yes,A–F,yes,A–E,yes,A–F,yes,A–F,yes,A–F,5,Universal coverage — strongest theme for multi-framework convergence
T11,Community Engagement Purpose & Civic Action,yes,A–F,no,—,partial,D–F,yes,C–F,partial,A–F,4,RSHE notable gap; CASEL strong C–F; CfW and CS cover purpose/civic action
T12,Wellbeing Science & Neuroscience Literacy,yes,A–F,partial,D–E,partial,A–D,no,—,partial,D,2,Substantially unique to REAL — no other framework teaches systematic neuroscience A–F
T13,Health & Evidence Literacy,yes,A–F,partial,D–E,partial,B–E,no,—,no,—,2,Unique REAL strength at Bands A–C and F; CASEL and CS have no health literacy content
T14,Metacognition & Self-Directed Learning,yes,A–F,no,—,partial,C–D,partial,A–F,partial,C–F,4,RSHE gap; REAL has strongest full-band metacognition progression
T15,Personal Identity & Self-Concept,no,—,no,—,partial,D–E,yes,A–F,yes,A–F,3,REAL GAP — confirmed structural gap at all bands; CASEL and CS cover A–F
T16,Family Diversity & Relationship Structures,no,—,yes,A–E,partial,C–D,no,—,no,—,2,REAL GAP — RSHE statutory coverage; not in REAL framework
T17,Online Safety & Digital Wellbeing,partial,C / E,yes,A–E,no,—,no,—,no,—,2,REAL GAP (partial) — RSHE extensive; REAL only touches online consent (C) and digital attention (E)
T18,Bullying Stereotyping & Anti-Discrimination,no,—,yes,A–E,no,—,partial,D–F,partial,C–F,3,REAL GAP — RSHE covers systematically A–E; CASEL and CS address at higher bands
T19,Physical Activity & Movement,no,—,no,—,yes,A–F,no,—,no,—,1,Unique to Welsh CfW — major component of CfW H&W AoLE; not addressed elsewhere
T20,Nutrition & Food Literacy,no,—,partial,D–E,yes,A–F,no,—,no,—,2,Welsh CfW distinctive strength; RSHE partial at D–E; not in REAL CASEL or CS
T21,Risk Assessment & Safety,partial,D,yes,A–E,yes,A–E,no,—,partial,C–E,4,REAL minimal (partial D only); RSHE and CfW systematic coverage A–E
T22,Growth Mindset & Self-Efficacy,no,—,no,—,no,—,yes,A–F,yes,C–F,2,REAL GAP — CASEL full A–F; CS C–F; not present in REAL RSHE or CfW
T23,Social Justice Rights & Advocacy,partial,E–F,partial,D–E,partial,C–F,partial,D–F,partial,A–F,5,All five cover this theme but at different bands; REAL enters late (E–F); CS begins earliest (A–B)
